HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,yield,yield_std
175,0,0,0,0,0,1,5,20,10,5,4,0.8,3,5,0.478375,0.6167,2.2335,1.2166,5.23095,4.968,3.636,3.737475,1.153,6.84425,1.1344,1.99,7.38585,5.824,0.03335,0.55235,1.17647,1.248583855,0.290588469
100,0,0,0,1,0,0,25,20,40,20,0.5,1,2,3.75,0.669725,2.4668,1.489,2.889425,2.615475,0.552,14.9076,1.601775,2.306,34.22125,1.1344,1.194,7.38585,13.104,0.03335,0.828525,1.96078,0.861957462,0.177556998
200,0,0,1,0,0,0,2.5,5,60,60,0.5,0,2,5,3.0616,0.30835,4.467,1.52075,1.74365,2.76,0.3636,5.33925,0.28825,62.9671,2.2688,14.726,2.46195,30.576,0.0667,2.485575,0.78431,3.371032568,0.229828475
50,0,0,0,1,0,0,12.5,60,10,0,0,0,6,10,5.3578,2.15845,5.2115,0.6083,5.23095,1.656,1.818,4.805325,2.01775,5.4754,2.2688,8.358,4.9239,7.28,0.116725,1.933225,1.17647,3.394222803,0.367970763
50,1,0,0,0,0,0,12.5,5,40,5,0.25,0.4,7,3.75,7.175625,1.8501,0.7445,2.889425,3.4873,2.76,19.998,5.33925,1.7295,19.1639,1.1344,0.796,3.2826,23.296,0.083375,1.1047,2.74509,2.652440971,0.160519272
150,0,0,1,0,0,0,25,60,60,2.5,4,0.4,9,1.25,0.478375,0.92505,5.956,2.12905,5.23095,1.104,0.7272,3.737475,2.306,9.58195,1.9852,3.582,8.2065,72.8,0.1334,0.828525,3.13725,0.600470754,0.182640754
25,0,0,0,0,0,1,15,5,10,40,0.5,0.4,4,10,0.287025,0.92505,4.467,0.30415,6.9746,1.104,2.5452,4.805325,0.86475,19.1639,2.2688,1.99,4.9239,30.576,0.0667,2.2094,3.5294,2.590659715,0.141252158
50,1,0,0,0,0,0,0,80,100,5,0.25,0.4,5,6.25,1.243775,2.4668,3.7225,1.52075,1.74365,2.208,2.5452,0.533925,0.28825,9.58195,1.418,11.144,6.5652,2.912,0.1334,1.1047,3.13725,0.66543363,0.075897345
25,0,0,0,0,1,0,25,20,80,5,0.25,0.1,3,2.5,0.95675,0.6167,4.467,1.52075,13.077375,2.76,2.5452,1.601775,0.28825,9.58195,1.9852,2.786,4.10325,5.824,0.083375,2.485575,1.56862,2.087560386,0.29701886
50,0,0,0,0,1,0,0,40,60,0,1,0.1,7,2.5,3.0616,1.8501,1.489,0.6083,6.9746,4.968,14.9076,4.2714,1.44125,84.8687,0.8508,14.726,8.2065,2.912,0.0667,1.65705,3.5294,1.251961029,0.419266589
25,0,0,1,0,0,0,15,0,2.5,20,0,0.6,1,2.5,0.19135,1.54175,1.489,2.12905,5.23095,4.968,3.636,4.805325,2.59425,5.4754,0.8508,8.358,2.46195,72.8,0.116725,1.380875,2.74509,0.325621262,0.140216212
75,0,0,0,0,1,0,2.5,80,5,60,0.25,0,0,3.75,1.72215,1.8501,2.978,0.6083,6.9746,2.208,1.818,0.533925,0.86475,26.00815,1.7016,0.796,4.9239,1.456,0.1334,1.1047,2.74509,1.2660139,0.071254436
100,0,0,0,1,0,0,15,5,20,80,0.25,1,5,2.5,0.478375,0.92505,2.2335,2.12905,17.4365,3.312,3.636,0.533925,0.5765,84.8687,2.5524,1.592,0.82065,7.28,0.10005,2.485575,0.78431,1.389990336,0.243154765
150,0,0,0,1,0,0,17.5,10,10,5,0.25,0.2,0,3.75,0.287025,0.6167,4.467,0.6083,17.4365,4.416,35.9964,1.06785,2.8825,26.00815,0.8508,1.592,1.6413,72.8,0.03335,1.1047,0.39216,0.56205848,0.176334965
175,0,0,1,0,0,0,5,10,10,20,0.25,0.1,1,6.25,0.3827,0.30835,2.978,0.30415,17.4365,3.312,4.7268,2.1357,1.7295,2.7377,0.8508,1.592,5.74455,4.368,0.016675,0.828525,3.13725,1.259502395,0.036175475
25,0,0,0,1,0,0,20,60,60,100,0.5,0,3,7.5,0.3827,2.4668,4.467,0.91245,9.590075,2.208,3.636,3.20355,0.5765,13.6885,1.1344,2.786,4.10325,40.768,0.116725,2.485575,2.74509,2.102723559,0.25793391
150,1,0,0,0,0,0,25,2.5,100,100,1,0,2,2.5,1.243775,1.54175,5.2115,2.12905,1.74365,2.76,1.818,3.737475,2.8825,46.5409,1.9852,3.582,6.5652,13.104,0.1334,0.276175,3.13725,2.262318033,0.336327478
75,0,0,0,1,0,0,7.5,0,2.5,100,0.25,0.4,0,3.75,0.095675,0.30835,2.978,0.456225,0.871825,3.864,0.3636,3.737475,2.01775,9.58195,0.5672,4.776,4.10325,5.824,0.1334,1.933225,1.96078,0.299815523,0.079752288
75,0,0,1,0,0,0,22.5,20,5,40,3,0.8,10,7.5,1.243775,3.0835,5.2115,1.2166,2.615475,0.552,3.636,0.533925,0.86475,26.00815,0.8508,1.99,1.6413,23.296,0.16675,1.1047,1.96078,0.346392698,0.009764835
25,0,1,0,0,0,0,22.5,40,20,10,5,0.6,6,5,0.478375,2.77515,5.2115,1.2166,17.4365,4.416,4.7268,4.805325,0.86475,9.58195,2.2688,0.796,7.38585,4.368,0.10005,2.485575,1.56862,0.990813593,0.061008968
200,1,0,0,0,0,0,12.5,20,2.5,80,3,0.6,1,3.75,1.243775,0.92505,0.7445,0.91245,1.74365,3.312,11.2716,2.669625,0.5765,9.58195,1.418,1.99,4.10325,13.104,0.0667,0.828525,0.78431,0.600798944,0.307402855
100,0,0,0,0,1,0,7.5,10,20,20,3,0.1,4,2.5,4.01835,1.8501,6.7005,1.2166,17.4365,3.864,1.818,1.06785,0.28825,113.61455,0.5672,3.582,7.38585,53.872,0.0667,0.55235,3.13725,1.517742156,0.384896638
125,0,0,0,0,0,1,17.5,80,2.5,2.5,0.25,1,10,10,2.2962,0.30835,2.2335,0.6083,13.077375,2.76,8.3628,4.805325,2.306,5.4754,0.2836,4.776,4.10325,5.824,0.03335,0.55235,0.78431,2.452906017,0.305412777
25,1,0,0,0,0,0,15,5,5,5,2,0.1,10,3.75,1.72215,1.2334,2.2335,2.889425,5.23095,1.656,11.2716,1.06785,2.59425,26.00815,0.8508,3.582,2.46195,40.768,0.050025,1.933225,0.78431,0.124202839,0.024848129
125,0,1,0,0,0,0,20,20,2.5,20,3,0.6,3,5,4.01835,1.8501,4.467,2.12905,3.4873,1.104,3.636,2.669625,2.306,13.6885,1.1344,14.726,1.6413,13.104,0.16675,0.828525,3.5294,0.963525194,0.175144877
200,0,0,0,0,0,1,22.5,40,100,60,0.5,0.1,1,2.5,0.095675,3.0835,2.978,1.2166,13.077375,1.656,11.2716,3.20355,2.306,46.5409,1.7016,1.99,4.9239,1.456,0.016675,1.380875,0.39216,1.156636096,0.088073754
75,0,1,0,0,0,0,20,0,60,0,2,1,2,8.75,0.3827,2.4668,0.7445,1.2166,1.74365,4.416,26.9064,1.601775,2.01775,5.4754,1.418,11.144,2.46195,23.296,0.1334,1.933225,1.17647,0.560277249,0.053202194
150,1,0,0,0,0,0,25,2.5,100,0,4,0,4,8.75,3.0616,2.15845,1.489,0.6083,17.4365,1.656,26.9064,0.533925,1.153,9.58195,2.836,3.582,3.2826,1.456,0.16675,1.65705,2.35294,2.80456129,0.020942659
200,0,0,0,0,0,1,25,2.5,40,100,4,0.2,9,5,0.287025,0.30835,6.7005,0.91245,13.077375,2.76,0.3636,4.805325,0.5765,5.4754,0.8508,19.9,7.38585,5.824,0.150075,0.276175,3.13725,1.183061429,0.114665954
125,0,0,0,0,1,0,0,5,20,20,0.5,0.8,2,8.75,3.0616,1.54175,3.7225,1.52075,0.871825,2.208,1.4544,4.805325,2.59425,113.61455,2.836,1.592,0.82065,2.912,0.03335,2.485575,0.78431,0.351992329,0.105848626
25,0,0,0,1,0,0,20,0,100,5,0.25,0.2,5,3.75,0.287025,1.54175,4.467,2.12905,13.077375,3.864,2.5452,5.33925,0.5765,62.9671,1.418,8.358,3.2826,5.824,0.1334,1.380875,1.17647,1.024795117,0.110918903
150,0,0,1,0,0,0,2.5,5,2.5,40,3,0,3,8.75,2.2962,2.4668,3.7225,0.91245,13.077375,4.968,6.1812,1.06785,1.153,1.36885,0.5672,6.368,3.2826,30.576,0.10005,1.933225,0.39216,0.589902221,0.058334813
50,0,0,0,1,0,0,0,0,60,100,1,0,9,3.75,4.01835,2.4668,3.7225,2.889425,9.590075,4.416,2.5452,3.20355,0.5765,4.10655,1.1344,3.582,8.2065,23.296,0.0667,1.65705,3.13725,1.326875308,0.188164183
150,0,0,0,1,0,0,0,100,10,2.5,0,0.4,0,7.5,0.669725,1.54175,5.2115,2.12905,6.9746,3.312,1.0908,5.33925,2.306,5.4754,1.9852,14.726,0.82065,10.192,0.050025,2.485575,1.96078,0.423299495,0.024406597
125,1,0,0,0,0,0,20,5,20,5,0.5,0.4,9,8.75,0.669725,1.54175,5.956,0.152075,9.590075,1.656,6.1812,4.2714,1.44125,19.1639,0.5672,0.796,6.5652,5.824,0.1334,1.380875,0.78431,2.105709501,0.003358188
125,0,1,0,0,0,0,15,0,60,5,0.5,1,8,3.75,0.287025,1.2334,2.978,2.889425,2.615475,3.312,0.7272,2.669625,2.8825,6.84425,1.418,4.776,5.74455,13.104,0.050025,1.1047,3.5294,1.438373179,0.11054387
25,0,0,1,0,0,0,12.5,5,2.5,20,4,0.1,9,8.75,0.3827,1.2334,5.2115,1.52075,2.615475,0.552,0.7272,5.33925,2.306,26.00815,0.8508,14.726,0.82065,23.296,0.016675,0.276175,0.78431,0.057740045,0.0064961
100,1,0,0,0,0,0,7.5,80,60,5,0.5,1,3,1.25,0.287025,1.2334,5.2115,0.91245,17.4365,1.104,4.7268,0.533925,2.59425,62.9671,1.1344,0.796,3.2826,2.912,0.03335,2.485575,2.74509,0.843559756,0.115414045
200,0,0,0,0,0,1,2.5,100,20,80,5,0.1,3,8.75,2.2962,1.2334,0.7445,0.30415,3.4873,1.104,8.3628,2.1357,1.7295,1.36885,0.2836,3.582,1.6413,7.28,0.10005,0.828525,1.96078,2.645353449,0.545045707
75,0,0,1,0,0,0,2.5,10,10,20,0.5,0.6,6,6.25,5.3578,1.2334,4.467,2.12905,6.9746,1.656,1.818,5.33925,2.8825,2.7377,2.5524,0.398,3.2826,5.824,0.16675,0.55235,1.17647,1.924901958,0.250598867
25,0,0,0,0,0,1,0,0,5,2.5,0.25,0.6,2,10,0.3827,1.2334,1.489,0.30415,1.74365,3.864,26.9064,0.533925,0.28825,5.4754,2.2688,4.776,4.9239,53.872,0.016675,2.2094,2.35294,0.723771777,0.321192376
100,0,0,0,0,0,1,22.5,2.5,60,60,3,0.1,6,5,5.3578,0.92505,6.7005,2.889425,13.077375,4.968,3.636,0.533925,2.306,6.84425,0.8508,1.592,1.6413,7.28,0.050025,1.380875,2.74509,3.292061451,0.193902121
75,0,0,0,0,0,1,15,0,2.5,40,0.5,0.1,2,7.5,0.3827,2.15845,3.7225,0.30415,6.9746,3.864,2.5452,5.33925,1.7295,6.84425,2.2688,14.726,0.82065,40.768,0.10005,0.55235,1.96078,2.546250454,0.215949823
25,0,1,0,0,0,0,15,10,40,40,2,0.2,1,6.25,0.19135,0.30835,0.7445,0.91245,0.871825,2.208,11.2716,3.737475,2.306,5.4754,0.5672,2.786,1.6413,23.296,0.03335,0.828525,3.5294,1.142529019,0.205757325
150,1,0,0,0,0,0,10,80,20,2.5,4,0.2,8,3.75,1.243775,0.30835,5.2115,0.6083,5.23095,1.656,0.3636,4.2714,0.5765,34.22125,2.836,6.368,3.2826,13.104,0.050025,1.380875,1.96078,3.830194868,0.236960842
100,0,0,0,0,1,0,15,10,60,100,0.25,1,3,8.75,2.2962,1.2334,5.956,1.2166,2.615475,0.552,8.3628,4.2714,2.8825,1.36885,2.2688,3.582,2.46195,7.28,0.116725,0.828525,0.39216,1.037791838,0.556363649
125,0,0,0,0,0,1,5,2.5,80,100,1,0.4,1,6.25,0.095675,2.15845,1.489,0.456225,2.615475,1.656,0.3636,5.33925,0.28825,19.1639,2.5524,1.99,6.5652,13.104,0.1334,0.276175,3.13725,0.457000398,0.079168658
25,0,0,0,1,0,0,20,5,100,2.5,0.25,0.6,5,8.75,0.478375,3.0835,6.7005,1.2166,0.871825,0.552,0.3636,4.2714,0.86475,5.4754,1.7016,11.144,0.82065,4.368,0.083375,0.276175,3.5294,0.484161497,0.075502567
125,1,0,0,0,0,0,22.5,0,100,60,0,0.2,2,8.75,0.19135,2.4668,0.7445,2.12905,0.871825,0.552,0.3636,2.669625,2.306,5.4754,2.2688,14.726,4.9239,30.576,0.1334,0.55235,0.78431,0.317566951,0.032874274
175,0,0,0,0,1,0,15,10,10,100,0.5,0.4,6,8.75,0.478375,2.77515,6.7005,0.456225,2.615475,2.76,0.3636,4.805325,0.86475,62.9671,0.5672,8.358,6.5652,23.296,0.16675,0.276175,2.74509,2.321966515,0.256617541
75,0,0,0,0,1,0,12.5,80,40,0,0.5,0,9,5,0.287025,2.4668,1.489,1.52075,6.9746,2.208,14.9076,3.20355,2.01775,6.84425,1.7016,1.194,8.2065,72.8,0.0667,1.933225,2.74509,1.611979311,0.216289192
50,0,0,0,1,0,0,7.5,2.5,100,0,3,0.1,5,10,0.3827,2.15845,0.7445,0.30415,0.871825,1.656,4.7268,1.06785,0.86475,4.10655,1.9852,0.796,1.6413,10.192,0.16675,1.380875,1.17647,0.911175806,0.168239759
100,0,1,0,0,0,0,7.5,40,2.5,60,3,0.4,7,7.5,0.95675,1.8501,5.2115,1.52075,1.74365,3.312,1.818,2.1357,1.153,26.00815,2.836,11.144,6.5652,10.192,0.10005,0.55235,1.17647,2.039745343,0.351897469
175,0,0,0,0,1,0,7.5,40,100,5,2,0.4,1,7.5,1.72215,1.2334,6.7005,0.152075,6.9746,2.76,14.9076,4.805325,0.86475,19.1639,1.7016,0.398,5.74455,2.912,0.083375,0.55235,3.5294,1.929504623,0.456993723
25,0,0,1,0,0,0,12.5,2.5,5,100,1,0.1,2,5,0.669725,1.54175,5.956,1.52075,13.077375,0.552,6.1812,5.33925,2.306,1.36885,1.7016,3.582,4.10325,10.192,0.083375,0.55235,3.5294,0.519807331,0.22534556
175,0,0,0,0,0,1,17.5,20,2.5,2.5,3,0.6,1,5,0.095675,0.92505,5.2115,0.6083,13.077375,4.416,4.7268,1.601775,0.5765,62.9671,1.1344,3.582,0.82065,23.296,0.116725,2.2094,3.5294,1.668088112,0.13979044
100,0,0,0,0,0,1,12.5,100,10,10,0,0,4,10,5.3578,2.77515,4.467,2.12905,1.74365,1.104,11.2716,2.669625,0.5765,9.58195,2.5524,11.144,6.5652,1.456,0.03335,0.828525,1.96078,3.768417215,0.44014281
125,0,0,1,0,0,0,22.5,20,100,20,0.25,0.2,6,6.25,0.478375,2.77515,5.2115,2.12905,3.4873,0.552,1.4544,4.805325,0.86475,84.8687,1.9852,3.582,3.2826,23.296,0.150075,2.2094,1.56862,0.8783661,0.192023195
50,0,0,1,0,0,0,0,0,60,40,2,1,3,10,0.287025,3.0835,1.489,0.91245,6.9746,4.968,0.3636,2.669625,0.86475,6.84425,2.2688,3.582,4.10325,7.28,0.1334,0.828525,2.74509,0.363258405,0.227782445
25,0,0,0,0,0,1,17.5,2.5,80,40,0.25,1,4,1.25,0.95675,0.30835,4.467,0.456225,2.615475,1.104,1.4544,0.533925,0.28825,2.7377,0.2836,1.99,1.6413,40.768,0.1334,1.380875,1.96078,0.771515275,0.148623651
50,0,0,0,0,1,0,2.5,60,80,80,0.25,1,5,6.25,0.3827,2.15845,5.956,0.91245,6.9746,1.104,1.818,1.06785,1.7295,6.84425,0.2836,1.194,4.9239,5.824,0.10005,1.933225,0.78431,1.200166277,0.352338943
100,1,0,0,0,0,0,2.5,5,5,80,0.25,0.6,5,8.75,0.3827,2.15845,0.7445,1.2166,2.615475,3.312,1.0908,5.33925,0.28825,62.9671,1.9852,1.592,0.82065,2.912,0.150075,0.55235,2.74509,1.462060007,0.083756158
150,0,0,0,0,1,0,12.5,0,100,2.5,4,0,0,8.75,1.72215,0.92505,1.489,1.52075,17.4365,2.76,11.2716,1.06785,1.153,26.00815,1.1344,1.592,4.10325,1.456,0.116725,1.65705,1.17647,1.696081211,0.11443283
200,0,0,0,0,1,0,10,5,10,5,0.25,0.2,0,2.5,1.72215,2.4668,5.2115,0.91245,13.077375,2.76,14.9076,3.737475,2.306,9.58195,0.2836,3.582,5.74455,40.768,0.083375,1.933225,3.5294,0.554513548,0.078079768
50,0,0,0,0,0,1,22.5,40,20,0,2,1,4,6.25,1.72215,0.30835,0.7445,0.152075,0.871825,1.656,6.1812,1.601775,2.8825,62.9671,1.9852,11.144,3.2826,7.28,0.03335,0.276175,1.17647,0.57081599,0.124818958
100,0,0,0,0,1,0,5,0,60,60,0.5,0.1,2,7.5,1.72215,0.30835,5.956,2.889425,9.590075,4.968,1.818,2.669625,0.86475,6.84425,1.1344,2.786,8.2065,1.456,0.016675,2.485575,1.17647,2.975803473,0.254201282
175,0,0,0,0,0,1,15,0,40,40,1,0.4,9,2.5,0.095675,1.54175,5.956,0.91245,13.077375,2.208,0.7272,2.1357,0.5765,13.6885,2.2688,3.582,4.9239,72.8,0.016675,2.485575,2.35294,1.698532642,0.064731363
75,0,0,0,0,0,1,7.5,20,40,5,4,0.2,8,5,2.2962,0.92505,5.2115,0.30415,13.077375,4.416,0.7272,2.1357,2.306,9.58195,1.7016,0.796,8.2065,72.8,0.083375,1.933225,0.78431,2.416116256,0.253336097
100,0,1,0,0,0,0,20,20,60,10,0.5,0,1,1.25,0.095675,2.15845,3.7225,0.91245,0.871825,1.656,2.5452,0.533925,1.44125,13.6885,0.8508,8.358,4.10325,5.824,0.083375,2.485575,0.39216,3.494184324,0.142511362
175,0,0,0,1,0,0,12.5,2.5,80,10,0.25,0.4,4,1.25,0.095675,3.0835,2.978,0.456225,6.9746,0.552,19.998,0.533925,0.28825,84.8687,2.5524,8.358,2.46195,2.912,0.116725,0.828525,3.5294,0.797438755,0.134030246
100,0,0,0,1,0,0,15,40,2.5,60,0.25,0.1,7,5,0.95675,2.15845,4.467,0.30415,6.9746,2.208,3.636,5.33925,1.153,1.36885,1.418,8.358,6.5652,53.872,0.083375,0.828525,1.96078,0.325445961,0.096125409
50,0,0,0,0,1,0,2.5,10,80,20,4,0.1,3,7.5,0.669725,2.77515,2.978,1.52075,0.871825,1.656,8.3628,3.20355,0.86475,46.5409,0.2836,14.726,8.2065,7.28,0.0667,2.2094,2.74509,1.100861459,0.159660791
100,0,0,0,0,0,1,12.5,0,2.5,20,5,0.4,10,2.5,0.3827,2.77515,5.2115,1.52075,13.077375,1.104,19.998,2.669625,0.28825,4.10655,1.7016,1.592,2.46195,13.104,0.016675,2.2094,1.56862,0.888477636,0.131475347
200,0,0,1,0,0,0,7.5,60,20,10,0.25,0.2,2,7.5,0.95675,1.8501,3.7225,0.152075,6.9746,2.208,3.636,0.533925,1.153,62.9671,1.418,1.592,0.82065,5.824,0.116725,0.55235,3.5294,7.017414796,1.906585464
50,0,0,1,0,0,0,0,2.5,100,2.5,0.5,0.1,4,2.5,9.5675,0.6167,4.467,0.30415,17.4365,3.312,0.7272,2.1357,0.5765,2.7377,2.2688,4.776,6.5652,2.912,0.016675,0.828525,2.35294,1.129722055,0.141815227
125,0,0,0,0,0,1,5,2.5,10,80,0.5,0.1,5,10,0.669725,1.2334,0.7445,1.52075,17.4365,4.416,19.998,2.669625,1.7295,26.00815,2.2688,0.398,5.74455,40.768,0.083375,2.2094,1.56862,1.45588389,0.227905025
200,0,1,0,0,0,0,7.5,80,20,20,0.25,0,9,6.25,7.175625,0.92505,4.467,2.889425,17.4365,0.552,0.3636,0.533925,2.8825,5.4754,0.8508,2.786,6.5652,1.456,0.016675,0.828525,1.17647,1.684899888,0.52848052
100,0,1,0,0,0,0,22.5,20,40,40,0.5,1,6,10,0.478375,1.2334,2.978,1.52075,17.4365,3.312,1.4544,1.601775,2.306,9.58195,0.8508,0.398,2.46195,1.456,0.050025,1.1047,1.96078,3.165994841,0.933177509
150,0,1,0,0,0,0,15,5,40,100,5,0.4,3,1.25,0.3827,0.6167,6.7005,0.30415,17.4365,0.552,6.1812,3.20355,1.7295,9.58195,1.9852,2.786,1.6413,23.296,0.050025,1.380875,1.96078,1.421993836,0.252334704
175,1,0,0,0,0,0,12.5,20,5,0,5,0.6,4,10,4.01835,2.4668,1.489,2.12905,5.23095,2.208,1.4544,2.1357,0.5765,46.5409,2.2688,1.592,4.9239,30.576,0.16675,1.380875,2.74509,2.796384829,0.640764176
100,0,0,0,0,1,0,12.5,60,10,10,2,0.8,1,7.5,1.72215,3.0835,2.2335,0.6083,5.23095,2.76,0.7272,2.669625,2.01775,1.36885,2.2688,14.726,1.6413,2.912,0.1334,1.380875,3.13725,0.882231471,0.212407994
25,0,0,0,0,0,1,15,60,2.5,10,0.25,0.1,3,2.5,0.287025,2.77515,5.2115,1.2166,0.871825,2.76,0.7272,3.737475,2.59425,19.1639,1.1344,8.358,7.38585,7.28,0.083375,1.933225,2.35294,3.734304229,0.755771372
50,0,0,0,0,1,0,2.5,80,5,40,0,0.2,8,7.5,0.3827,1.54175,2.978,2.889425,3.4873,1.656,14.9076,3.20355,1.7295,46.5409,0.8508,14.726,4.9239,5.824,0.10005,0.828525,2.74509,2.774554425,0.043372693
50,1,0,0,0,0,0,15,5,5,2.5,2,0.2,6,8.75,4.01835,0.6167,4.467,0.456225,5.23095,4.416,19.998,3.20355,2.01775,13.6885,0.2836,8.358,1.6413,13.104,0.150075,1.65705,3.5294,0.842192075,0.26390584
100,0,0,0,0,1,0,0,2.5,20,20,1,0.2,2,7.5,3.0616,3.0835,0.7445,0.6083,1.74365,2.208,6.1812,4.805325,2.306,1.36885,2.2688,2.786,2.46195,53.872,0.1334,0.828525,0.78431,1.474882901,0.315869313
125,0,0,1,0,0,0,15,10,80,100,0.25,0.6,5,3.75,0.095675,2.4668,5.956,1.52075,6.9746,1.656,6.1812,3.20355,2.306,5.4754,1.418,4.776,8.2065,53.872,0.10005,1.380875,0.78431,0.612800005,0.208691899
125,0,0,0,0,1,0,22.5,60,2.5,2.5,4,1,0,8.75,0.478375,1.8501,1.489,0.30415,6.9746,1.656,1.818,1.601775,2.306,2.7377,0.8508,19.9,3.2826,10.192,0.116725,0.55235,3.5294,0.370447699,0.064467066
25,0,1,0,0,0,0,20,40,60,40,1,0.8,0,7.5,1.243775,2.77515,0.7445,1.52075,0.871825,4.416,0.7272,3.20355,2.01775,4.10655,1.418,0.398,2.46195,1.456,0.016675,1.380875,1.56862,0.641314702,0.329184177
200,0,0,0,0,1,0,17.5,5,2.5,60,1,0,1,6.25,7.175625,2.4668,6.7005,0.456225,9.590075,2.208,0.7272,0.533925,2.01775,62.9671,2.5524,1.99,8.2065,23.296,0.050025,0.55235,3.5294,2.209751219,0.123323961
25,0,0,0,1,0,0,5,80,2.5,10,0,0.6,1,5,0.95675,0.30835,2.978,0.91245,1.74365,3.864,0.3636,0.533925,2.01775,2.7377,1.418,1.99,4.9239,4.368,0.016675,1.933225,1.17647,2.274261769,0.618469774
50,0,0,1,0,0,0,22.5,5,2.5,80,1,0.8,6,5,0.95675,0.30835,1.489,0.91245,0.871825,3.312,8.3628,3.737475,2.8825,5.4754,0.8508,11.144,6.5652,1.456,0.016675,1.65705,0.39216,0.545994956,0.089781929
125,0,0,0,0,0,1,7.5,10,10,10,3,0.8,7,3.75,7.175625,3.0835,5.956,2.889425,1.74365,3.864,3.636,1.06785,1.44125,13.6885,1.9852,1.194,0.82065,30.576,0.116725,1.933225,0.39216,0.817124664,0.294429416
75,0,0,0,0,1,0,15,10,80,40,1,0.2,2,3.75,1.243775,1.2334,2.978,2.889425,5.23095,2.208,6.1812,1.06785,1.7295,34.22125,2.836,1.99,1.6413,72.8,0.16675,0.55235,1.96078,1.278138953,0.539866796
75,0,0,1,0,0,0,15,60,5,10,3,1,3,6.25,0.478375,1.8501,3.7225,0.91245,9.590075,1.104,6.1812,1.06785,1.153,1.36885,1.418,11.144,8.2065,5.824,0.1334,1.1047,0.78431,0.593512708,0.296910298
200,0,0,0,1,0,0,10,60,5,40,0.25,0,8,5,0.669725,1.2334,5.956,2.889425,2.615475,4.416,1.818,4.805325,2.8825,26.00815,1.418,1.194,3.2826,23.296,0.03335,0.828525,2.74509,6.801225726,0.825684719
150,1,0,0,0,0,0,5,2.5,10,2.5,5,0.6,8,8.75,0.669725,2.15845,6.7005,2.889425,3.4873,2.76,19.998,3.737475,2.8825,26.00815,0.5672,14.726,1.6413,13.104,0.050025,1.1047,3.5294,1.356579287,0.152259157
